Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
11/30/2022,686,0,52,111,117,121,80,91,79,62,25,0,401,281,4,192,27,207,156,25,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,1,10,8,10,9,0,31,21,0,11,4,24,11,2,0
09/21/2022,371,2,27,70,70,74,44,44,31,23,15,0,217,154,0,118,24,88,92,11,38,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,1,0,0,2,3,3,3,5,4,4,3,0,11,16,0,8,2,11,5,0,1
07/17/2022,526,0,40,84,93,106,84,70,51,26,12,0,295,228,3,115,29,145,137,27,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,6,6,8,4,0,20,20,0,6,0,22,11,1,0
09/05/2020,203,3,21,23,61,40,34,21,17,6,1,0,94,109,0,91,5,31,56,4,16,0,0,0,0,1,0,1,1,0,1,2,0,2,0,1,0,0,0,0,1,2,3,5,5,2,3,0,13,8,0,7,0,7,7,0,0
02/04/2023,167,2,20,25,21,31,21,22,18,20,9,0,90,77,0,52,6,48,40,8,13,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,1,3,3,2,2,1,2,6,0,10,10,0,3,1,9,5,1,1
10/02/2021,237,4,20,52,39,48,31,37,19,8,3,0,122,115,0,31,10,75,73,25,23,0,0,0,0,0,1,1,2,0,2,2,0,0,0,3,1,0,0,0,4,1,1,6,5,3,0,0,11,9,0,2,0,13,5,0,0
05/03/2021,548,6,54,87,112,124,74,84,42,20,5,0,311,237,0,141,19,229,89,11,59,0,0,0,0,0,2,1,3,0,2,4,0,1,0,2,3,0,0,1,2,5,9,14,10,9,4,0,24,30,0,11,0,33,6,2,2
07/16/2021,155,1,9,23,42,48,14,18,6,3,1,0,79,75,1,24,8,42,55,3,23,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,1,2,1,1,0,6,3,0,2,0,7,0,0,0
08/03/2021,443,1,13,58,140,103,53,38,34,11,6,0,228,213,2,88,17,104,158,16,60,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,2,3,1,2,2,0,3,10,0,1,0,3,9,0,0
05/08/2021,271,8,32,47,74,58,38,28,14,5,7,0,166,105,0,70,7,126,39,3,26,0,1,0,1,1,1,1,3,0,4,4,0,1,0,7,0,0,0,2,4,4,4,3,8,2,5,0,21,11,0,6,2,20,4,0,0
06/21/2022,942,0,49,90,204,212,136,122,79,62,37,0,549,388,5,195,87,238,250,32,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,2,8,10,7,11,0,25,24,0,7,2,28,10,1,1
02/10/2022,425,6,20,100,100,82,42,32,40,21,8,0,232,193,0,92,30,75,139,30,59,0,0,0,1,0,1,1,3,0,1,5,0,1,0,3,2,0,0,1,2,0,2,3,4,4,4,0,11,9,0,5,0,10,5,0,0
04/28/2022,813,1,20,156,180,164,126,69,66,39,13,0,463,342,8,149,79,117,297,44,127,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,3,1,0,2,4,3,6,0,13,7,0,3,0,8,8,1,0
06/01/2022,1353,3,27,322,259,268,167,150,105,50,32,0,769,573,11,315,104,302,378,80,174,0,0,0,0,0,0,1,2,0,0,3,0,0,1,0,1,1,0,2,3,3,2,3,2,3,9,0,15,12,0,6,1,6,12,1,1
09/16/2020,365,4,32,47,120,78,48,34,25,10,3,0,203,162,0,178,6,58,98,2,23,0,0,0,0,0,2,1,1,0,3,1,0,1,0,1,2,0,0,1,3,2,3,0,13,6,4,0,23,9,0,11,0,10,9,0,2
04/26/2022,927,0,14,222,229,198,116,76,55,24,7,0,532,386,9,159,69,158,345,68,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,2,1,3,0,9,5,0,2,1,5,5,1,0
02/02/2022,367,17,20,70,73,73,58,44,26,14,9,0,192,174,1,86,32,45,126,25,53,0,0,1,1,3,4,5,3,0,9,8,0,2,1,7,6,1,0,1,1,1,3,3,4,1,6,0,9,11,0,7,0,3,10,0,0
09/08/2021,658,7,41,136,180,135,68,62,43,22,12,0,356,302,0,149,29,182,188,32,78,0,0,0,0,3,0,2,2,0,6,1,0,1,0,5,1,0,0,1,3,8,2,9,6,4,8,0,17,24,0,8,2,21,8,1,1
05/28/2021,139,4,12,31,33,18,22,17,8,6,4,0,89,50,0,39,4,61,20,4,11,0,0,0,0,0,2,1,1,0,3,1,0,0,0,4,0,0,0,1,0,0,2,5,1,2,1,0,4,8,0,1,0,8,2,1,0
12/27/2020,612,24,89,49,139,114,84,94,69,37,26,0,328,280,4,160,29,110,216,35,62,0,0,0,1,3,6,4,10,0,11,13,0,4,1,10,9,0,0,0,3,3,6,24,17,17,19,0,41,48,0,20,2,42,21,1,3
06/01/2020,233,20,63,21,50,35,32,35,17,17,26,0,137,95,1,97,8,57,46,8,17,0,0,0,1,2,4,4,9,0,11,9,0,6,1,9,4,0,0,2,3,11,7,9,7,11,13,0,28,35,0,20,1,29,12,0,1
07/21/2020,289,1,31,24,82,57,55,31,23,8,9,0,143,145,1,98,3,92,59,17,20,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,4,5,6,2,4,5,5,0,14,17,0,7,1,14,6,0,3
08/16/2020,120,3,18,10,40,28,9,15,10,6,1,1,56,63,1,29,6,20,49,8,8,0,0,1,0,1,0,1,0,0,2,1,0,0,0,1,2,0,0,0,6,0,1,2,5,1,3,0,12,6,0,9,1,6,2,0,0
06/06/2022,1140,0,30,259,200,228,141,138,97,52,25,0,656,480,4,268,95,242,300,62,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,0,7,8,6,0,23,7,0,3,2,12,11,1,1
07/19/2021,203,1,11,34,65,51,24,21,4,3,1,0,97,105,1,43,4,45,71,8,32,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,3,0,2,1,0,2,0,9,2,0,1,0,3,6,0,1
